account_id,name,risk_score,dpd,total_debt,due_date,loan_type,region,last_payment_date,payment_frequency,partial_payments_count,payment_channel,last_contact_channel,response_time_avg,bot_interaction_score,call_pickup_rate,occupation_type,region_income_level,loan_purpose,stage_last_contacted,touchpoints_count,recommended_next_action,age,monthly_income,last_payment_days_ago,contact_channel,response_behavior,risk_level,dpd_bucket,income_level,ai_risk_score
ACC0001,Nok,0.71,7,77045,2025-07-26,Credit Card,North,2025-05-15,Monthly,5,ATM,Phone,17,0.79,0.52,Freelancer,Medium,Investment,Stage 1,2,Send SMS,58,52838,54,SMS,Responsive,Medium,0–7,High,0.57
ACC0002,Somchai,0.88,7,88904,2025-07-17,Credit Card,South,2025-06-27,Monthly,4,MobileApp,SMS,11,0.51,0.82,Business Owner,Low,Investment,Stage 2,3,Send SMS,28,23311,79,Voice,Ignored,High,0–7,Mid,0.92
ACC0003,Malee,0.85,27,67007,2025-06-19,Home Loan,Central,2025-05-24,Monthly,0,LINE,Email,31,0.94,0.77,Business Owner,Medium,Emergency,Stage 2,7,LINE Bot,20,31540,68,None,Ignored,Medium,8–30,Mid,0.94
ACC0004,Anan,0.11,7,95734,2025-06-11,Car Loan,Bangkok,2025-06-28,Weekly,3,MobileApp,Email,24,0.9,0.64,Unemployed,Medium,Investment,Stage 2,3,Send SMS,56,75559,4,Voice,Ignored,Medium,0–7,High,0.53
ACC0005,Ying,0.91,10,99238,2025-06-15,Car Loan,South,2025-06-28,Weekly,5,LINE,LINE,43,0.9,0.94,Freelancer,Medium,Consumption,Stage 2,7,Escalate,22,72383,12,Voice,Slow,Medium,8–30,High,0.93
ACC0006,Anan,0.24,16,52804,2025-06-24,Credit Card,North,2025-05-26,Weekly,0,BankBranch,LINE,51,0.95,0.57,Unemployed,Low,Investment,Stage 0,5,Call,29,73601,40,None,Ignored,Low,8–30,High,0.58
ACC0007,Golf,0.41,4,25367,2025-07-25,Home Loan,Bangkok,2025-06-28,Weekly,3,ATM,LINE,68,0.55,0.2,Salaried,Medium,Investment,Stage 0,6,LINE Bot,57,19919,4,None,Ignored,Low,0–7,Mid,0.92
ACC0008,Somsak,0.62,10,74916,2025-06-29,SME Loan,Central,2025-06-26,Irregular,1,LINE,LINE,6,0.49,0.52,Business Owner,Low,Investment,Stage 0,10,LINE Bot,30,43423,72,None,Responsive,High,8–30,High,0.67
ACC0009,Ying,0.35,25,21735,2025-07-31,Car Loan,Central,2025-06-14,Weekly,4,BankBranch,Email,3,0.38,0.07,Unemployed,High,Consumption,Stage 2,1,Escalate,65,57540,69,None,Ignored,Low,8–30,High,0.63
ACC0010,Ploy,0.47,6,39762,2025-07-11,Personal Loan,Northeast,2025-06-25,Weekly,3,BankBranch,Phone,68,0.45,0.99,Unemployed,High,Consumption,Stage 0,7,Call,48,29701,82,SMS,Responsive,Medium,0–7,Mid,0.53
ACC0011,Ying,0.26,18,75592,2025-07-26,Home Loan,Bangkok,2025-07-03,Irregular,4,ATM,LINE,51,0.01,0.04,Unemployed,High,Consumption,Stage 0,3,LINE Bot,41,62922,11,None,Slow,High,8–30,High,0.73
ACC0012,Malee,0.95,14,85727,2025-06-17,Personal Loan,South,2025-06-28,Weekly,5,BankBranch,Email,41,0.44,0.98,Freelancer,Medium,Consumption,Stage 2,2,Escalate,48,14487,37,None,Slow,High,8–30,Low,0.6
ACC0013,Ploy,0.52,7,55064,2025-07-12,SME Loan,Bangkok,2025-07-03,Monthly,5,BankBranch,LINE,35,0.68,0.88,Unemployed,High,Investment,Stage 1,4,Escalate,45,66514,44,Voice,Ignored,High,0–7,High,0.96
